axis,branch,run_id,seed,step,R,K,K_over_R,collision_rate,final_train_loss,final_val_loss,final_gap,gap_337,gap_674,gap_1000,freq_index_sha256,source_code_revision,source
table_size,trigram,s1v5_128_tbl_tri2_R194000,42,1000,194000,19027841,98.08165463917526,,3.157120943069458,4.8106513023376465,1.6535303592681885,-0.05465126037597656,0.6868716478347778,1.6535303592681885,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R194000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R2000000,42,1000,2000000,19027841,9.5139205,,2.29677677154541,5.484647035598755,3.1878702640533447,-0.05606281757354736,1.4916759729385376,3.1878702640533447,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R2000000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R22000,42,1000,22000,19027841,864.9018636363636,,3.4851834774017334,4.578936338424683,1.0937528610229492,-0.054818034172058105,0.4646921157836914,1.0937528610229492,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R22000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R2347000,42,1000,2347000,19027841,8.107303365999147,,2.235982656478882,5.50047767162323,3.264495015144348,-0.06718587875366211,1.5318851470947266,3.264495015144348,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R2347000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R265000,42,1000,265000,19027841,71.80317358490566,,3.087096691131592,4.873434543609619,1.7863378524780273,-0.06312441825866699,0.7530742883682251,1.7863378524780273,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R265000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R30000,42,1000,30000,19027841,634.2613666666666,,3.463080644607544,4.612870573997498,1.1497899293899536,-0.057193756103515625,0.4798160791397095,1.1497899293899536,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R30000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R362000,42,1000,362000,19027841,52.563096685082876,,3.028669834136963,4.955826997756958,1.9271571636199951,-0.05649673938751221,0.8089239597320557,1.9271571636199951,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R362000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R41000,42,1000,41000,19027841,464.0936829268293,,3.458157539367676,4.621326565742493,1.163169026374817,-0.06257748603820801,0.47691047191619873,1.163169026374817,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R41000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R494000,42,1000,494000,19027841,38.517896761133606,,2.85970401763916,5.018785834312439,2.159081816673279,-0.062126874923706055,0.9318960905075073,2.159081816673279,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R494000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R56000,42,1000,56000,19027841,339.782875,,3.4141457080841064,4.649601936340332,1.2354562282562256,-0.0665823221206665,0.5158491134643555,1.2354562282562256,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R56000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R675000,42,1000,675000,19027841,28.189394074074073,,2.7084381580352783,5.129781126976013,2.421342968940735,-0.05710768699645996,1.0103312730789185,2.421342968940735,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R675000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R76000,42,1000,76000,19027841,250.36632894736843,,3.384841203689575,4.684821009635925,1.29997980594635,-0.05763709545135498,0.5420776605606079,1.29997980594635,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R76000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R922000,42,1000,922000,19027841,20.6375715835141,,2.641892671585083,5.247902870178223,2.6060101985931396,-0.062020301818847656,1.1223652362823486,2.6060101985931396,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R922000_fixed
