arm,branch,bucket,train_fraction,val_fraction,train_loss,val_loss,bucket_gap,train_contribution,val_contribution,gap_contribution,train_tokens,val_tokens
input,bigram,201-300,0.07055494520399305,0.07045661078559028,2.1594915913010495,5.610775703049663,3.4512841117486137,0.1523628108927293,0.39531623991501674,0.24295342902228745,41615,41557
input,bigram,301-500,0.09650505913628472,0.09621344672309028,2.282684324984014,5.429126572821118,3.1464422478371037,0.22029058577205246,0.5223549802670383,0.30206439449498584,56921,56749
input,bigram,501-750,0.08140055338541667,0.08194478352864583,2.3756375181966427,5.240235764892865,2.864598246696222,0.19337820862436458,0.4294099853932136,0.23603177676884904,48012,48333
input,bigram,751-1k,0.055002848307291664,0.0550079345703125,2.4318764997812696,5.2933091223316024,2.861432622550333,0.13376013421953659,0.2911740018616551,0.1574138676421185,32442,32445
input,bigram,1k-2k,0.060830010308159724,0.06120130750868055,2.662724597744621,6.055721999006166,3.392997401261545,0.16197356472859573,0.3706181042482581,0.20864453951966236,35879,36098
input,bigram,2k-5k,0.06405809190538195,0.06387837727864583,2.7248558961774076,6.167155587803675,3.4422996916262676,0.17454906942625426,0.39394789137383196,0.2193988219475777,37783,37677
input,bigram,5k-10k,0.035361395941840276,0.03472730848524305,3.0801395227376194,6.405393088513735,3.3252535657761157,0.1089180332196359,0.22244206175406023,0.11352402853442432,20857,20483
input,bigram,10k+,0.0779995388454861,0.0767364501953125,3.36825731073501,5.966333347794045,2.598076037059035,0.262722516950268,0.4578352417916298,0.19511272484136183,46006,45261
input,trigram,1,0.2776743570963542,0.08408949110243055,0.9184644851535152,8.224098148237728,7.305633663084213,0.2550340354308363,0.691560228061752,0.4365261926309157,163779,49598
input,trigram,2,0.0950469970703125,0.04951646592881945,1.5070894112523223,7.812322243502037,6.305232832249715,0.14324432285599847,0.3868385881953269,0.24359426533932843,56061,29206
input,trigram,3,0.053934733072916664,0.035059611002604164,1.8607487373631288,7.502304431941192,5.641555694578063,0.10035898646544707,0.2630278750069714,0.16266888854152434,31812,20679
input,trigram,4,0.03850131564670139,0.026823255750868056,2.012049924201289,7.166576172797549,5.15452624859626,0.07746656922859543,0.19223090554102584,0.11476433631243041,22709,15821
input,trigram,5,0.029354519314236112,0.022093031141493056,2.1542115223683473,6.969474712946441,4.815263190578094,0.06323584374031163,0.1539768218729741,0.09074097813266246,17314,13031
input,trigram,6-8,0.06037563747829861,0.04890611436631945,2.2585518087324425,6.511611201112027,4.253059392379584,0.13636150522998558,0.31845760211059154,0.18209609688060596,35611,28846
input,trigram,9-12,0.05160861545138889,0.043891059027777776,2.3888443716411287,5.942609604204463,3.5537652325633347,0.12328495054924174,0.26082742891717725,0.1375424783679355,30440,25888
input,trigram,13-20,0.06328497992621528,0.05678982204861111,2.5620736826594963,5.366753295790664,2.8046796131311678,0.16214078157659068,0.304776964646749,0.14263618307015835,37327,33496
input,trigram,21-30,0.048380533854166664,0.04493882921006945,2.7479312021098226,4.93179367617372,2.183862474063898,0.13294637855259517,0.22162903371287138,0.08868265516027621,28536,26506
input,trigram,31-50,0.056799994574652776,0.054757012261284724,2.9184894057155892,4.5574932354418705,1.6390038297262812,0.16577018241082708,0.24955471297381268,0.0837845305629856,33502,32297
input,trigram,51-75,0.040335761176215276,0.03915066189236111,3.1045058224590387,4.317480993022321,1.2129751705632823,0.12522260542487756,0.16903223858451238,0.04380963315963482,23791,23092
input,trigram,76-100,0.027025010850694444,0.026182386610243056,3.1070331274622536,4.237706468634014,1.13067334117176,0.08396760398313449,0.11095326910250358,0.02698566511936909,15940,15443
input,trigram,101-150,0.033376057942708336,0.03212314181857639,3.1787836235054585,4.183616372320278,1.0048327488148199,0.10609526640545054,0.13439090204256238,0.028295635637111835,19686,18947
input,trigram,151-200,0.020877414279513888,0.020012749565972224,3.2399788950389947,4.114766302566256,0.8747874075272613,0.06764238164861074,0.08234778753575997,0.014705405887149234,12314,11804
input,trigram,201-300,0.025060017903645832,0.024973551432291668,3.3484757414957382,4.089691427669022,0.7412156861732839,0.08391286203180695,0.10213411921109466,0.018221257179287714,14781,14730
input,trigram,301-500,0.025441487630208332,0.024854871961805556,3.403792773803597,4.052544971109541,0.6487521973059445,0.08659755175051671,0.10072548637638665,0.014127934625869934,15006,14660
input,trigram,501-750,0.014211018880208334,0.015241834852430556,3.5743463144229723,4.031939366974716,0.45759305255174354,0.05079510295866793,0.06145415396644202,0.01065905100777409,8382,8990
input,trigram,751-1k,0.007580227322048611,0.007100423177083333,3.7316580212122035,4.159540891565319,0.4278828703531157,0.0282868160889346,0.029534500552496262,0.0012476844635616637,4471,4188
input,trigram,1k-2k,0.012242635091145834,0.011935763888888888,3.8002386590219106,4.266532934689591,0.46629427566768067,0.04652493516167063,0.050924329732623154,0.004399394570952522,7221,7040
input,trigram,2k-5k,0.009012858072916666,0.009087456597222222,3.7249895222361413,3.966515352222996,0.24152582998685457,0.033572801887016,0.03604553610554209,0.0024727342185260903,5316,5360
input,trigram,5k-10k,0.002819485134548611,0.0027618408203125,3.965679905966195,4.286432156827532,0.32075225086133674,0.01118117554324982,0.01183844330422643,0.0006572677609766094,1663,1629
input,trigram,10k+,0.006305270724826389,0.006752861870659722,2.95100608981673,3.155227131534582,0.20422104171785183,0.01860689230690582,0.021306812989810926,0.0026999206829051055,3719,3983
