R,f_lo,f_hi,fbar,gap,gap_ref,s_emp,x_meanfield,load,val_tokens
1259000,4096,32768,11585.1,0.07329,0.09638,0.76051,0.9966,2.813,51494
1719000,1,2,1.0,4.61132,5.08142,0.90749,0.03342,2.06,12905
1719000,2,4,2.4,3.57816,3.85384,0.92847,0.07808,2.06,16563
1719000,4,8,5.3,2.76397,2.92273,0.94568,0.15466,2.06,20656
1719000,8,16,11.0,2.00233,2.06918,0.96769,0.27471,2.06,26025
1719000,16,32,22.3,1.47145,1.48859,0.98849,0.43504,2.06,33169
1719000,32,64,44.9,1.07442,1.075,0.99946,0.60822,2.06,41489
1719000,64,128,90.2,0.75118,0.73858,1.01706,0.75712,2.06,53239
1719000,128,256,180.7,0.53258,0.50917,1.04599,0.86201,2.06,66140
1719000,256,512,361.7,0.39398,0.38501,1.0233,0.92596,2.06,76469
1719000,512,1024,723.7,0.25618,0.2483,1.03172,0.96157,2.06,79555
1719000,1024,4096,2047.7,0.13567,0.12509,1.08459,0.98607,2.06,65387
1719000,4096,32768,11585.1,0.1141,0.09638,1.18392,0.99751,2.06,51494
2000000,1,2,1.0,4.87059,5.08142,0.95851,0.03867,1.771,12905
2000000,2,4,2.4,3.71853,3.85384,0.96489,0.0897,1.771,16563
2000000,4,8,5.3,2.89333,2.92273,0.98994,0.17551,1.771,20656
2000000,8,16,11.0,2.06631,2.06918,0.99862,0.30588,1.771,26025
2000000,16,32,22.3,1.51116,1.48859,1.01516,0.47255,1.771,33169
2000000,32,64,44.9,1.10163,1.075,1.02477,0.64365,1.771,41489
2000000,64,128,90.2,0.77276,0.73858,1.04629,0.78387,1.771,53239
2000000,128,256,180.7,0.55827,0.50917,1.09644,0.87905,1.771,66140
2000000,256,512,361.7,0.42078,0.38501,1.0929,0.93569,1.771,76469
2000000,512,1024,723.7,0.2865,0.2483,1.15383,0.96679,1.771,79555
2000000,1024,4096,2047.7,0.16594,0.12509,1.32651,0.98801,1.771,65387
2000000,4096,32768,11585.1,0.14268,0.09638,1.48041,0.99786,1.771,51494
2347000,1,2,1.0,5.08142,5.08142,1.0,0.04508,1.509,12905
2347000,2,4,2.4,3.85384,3.85384,1.0,0.10365,1.509,16563
2347000,4,8,5.3,2.92273,2.92273,1.0,0.19987,1.509,20656
2347000,8,16,11.0,2.06918,2.06918,1.0,0.34086,1.509,26025
2347000,16,32,22.3,1.48859,1.48859,1.0,0.51252,1.509,33169
2347000,32,64,44.9,1.075,1.075,1.0,0.67945,1.509,41489
2347000,64,128,90.2,0.73858,0.73858,1.0,0.80974,1.509,53239
2347000,128,256,180.7,0.50917,0.50917,1.0,0.89505,1.509,66140
2347000,256,512,361.7,0.38501,0.38501,1.0,0.94467,1.509,76469
2347000,512,1024,723.7,0.2483,0.2483,1.0,0.97156,1.509,79555
2347000,1024,4096,2047.7,0.12509,0.12509,1.0,0.98976,1.509,65387
2347000,4096,32768,11585.1,0.09638,0.09638,1.0,0.99817,1.509,51494
