f,n_contexts,N1_types,cont_types,M,S_eff
242,62,3449,5030,0.229872,81.129
243,54,2971,4251,0.226414,78.7222
244,50,3201,4504,0.262377,90.08
245,44,2834,4016,0.262894,91.2727
246,60,3900,5583,0.264228,93.05
247,54,3516,4937,0.263608,91.4259
248,48,2567,3899,0.215642,81.2292
249,45,3553,4847,0.317091,107.7111
250,58,3681,5293,0.253862,91.2586
251,53,3370,4800,0.253326,90.566
252,50,3065,4515,0.243254,90.3
253,42,2607,3736,0.245342,88.9524
254,49,3361,4721,0.270047,96.3469
255,47,2871,4117,0.239549,87.5957
256,48,2906,4190,0.236491,87.2917
257,36,2647,3709,0.2861,103.0278
258,38,2443,3494,0.249184,91.9474
259,51,3147,4638,0.238247,90.9412
260,48,3031,4409,0.242869,91.8542
261,46,2823,4004,0.235132,87.0435
262,50,3446,4793,0.263053,95.86
263,47,2763,3982,0.223526,84.7234
264,47,2551,3798,0.205593,80.8085
265,40,2384,3473,0.224906,86.825
266,38,2877,4081,0.284626,107.3947
267,37,2508,3583,0.253872,96.8378
268,39,2180,3283,0.208573,84.1795
269,49,3064,4362,0.232456,89.0204
270,45,3172,4398,0.26107,97.7333
271,23,1434,2123,0.230066,92.3043
272,34,2293,3324,0.247946,97.7647
273,40,2270,3162,0.207875,79.05
274,29,1659,2468,0.208784,85.1034
275,39,2515,3687,0.234499,94.5385
276,40,2116,3238,0.191667,80.95
277,36,2206,3196,0.221219,88.7778
278,37,2034,3013,0.197745,81.4324
279,45,2855,4257,0.227399,94.6
280,37,2553,3684,0.246429,99.5676
281,48,2918,4188,0.21634,87.25
282,25,1512,2262,0.214468,90.48
283,38,2772,3973,0.257765,104.5526
284,40,2412,3521,0.212324,88.025
285,37,2325,3341,0.220484,90.2973
286,35,2566,3662,0.256344,104.6286
287,43,2863,4149,0.231991,96.4884
288,34,2146,3246,0.219158,95.4706
289,33,2121,3171,0.222397,96.0909
290,26,1719,2500,0.227984,96.1538
291,43,3013,4362,0.24079,101.4419
292,37,3116,4383,0.288412,118.4595
293,30,2456,3429,0.279408,114.3
294,28,1944,2836,0.236152,101.2857
295,29,1833,2717,0.214261,93.6897
296,34,2236,3262,0.222178,95.9412
297,30,2143,3176,0.240516,105.8667
298,26,1638,2410,0.211409,92.6923
299,35,2271,3395,0.217009,97.0
300,32,2407,3523,0.250729,110.0938
301,23,1790,2521,0.258558,109.6087
302,22,1356,1953,0.204094,88.7727
303,28,2082,2978,0.245403,106.3571
304,27,2149,3012,0.261818,111.5556
305,31,2180,3074,0.230566,99.1613
306,26,1946,2843,0.244595,109.3462
307,28,1997,2806,0.232317,100.2143
308,45,2779,4158,0.200505,92.4
309,25,2084,2961,0.269773,118.44
310,25,1762,2604,0.227355,104.16
311,27,2395,3313,0.285221,122.7037
312,22,1309,1919,0.190705,87.2273
313,28,2251,3244,0.256846,115.8571
314,30,2540,3544,0.269639,118.1333
315,25,2156,3110,0.273778,124.4
316,28,1999,2842,0.225927,101.5
317,26,1930,2757,0.234166,106.0385
318,33,2564,3686,0.24433,111.697
319,23,1410,2121,0.192177,92.2174
320,28,1786,2635,0.19933,94.1071
321,22,1732,2437,0.245256,110.7727
322,25,1804,2698,0.224099,107.92
323,25,2276,3228,0.281858,129.12
324,22,1836,2659,0.257576,120.8636
325,31,2390,3534,0.237221,114.0
326,30,2372,3498,0.242536,116.6
327,29,1972,2873,0.207951,99.069
328,27,1963,2764,0.221658,102.3704
329,24,2363,3268,0.299265,136.1667
330,27,2258,3283,0.253423,121.5926
331,24,1424,2154,0.179255,89.75
332,37,3066,4249,0.249593,114.8378
333,17,1295,1849,0.228758,108.7647
334,23,1489,2296,0.19383,99.8261
335,27,1884,2642,0.208292,97.8519
336,18,1714,2343,0.283399,130.1667
337,23,1557,2302,0.200877,100.087
338,29,2189,3236,0.223322,111.5862
339,21,1626,2358,0.228403,112.2857
340,29,2062,3046,0.209128,105.0345
341,26,2237,3040,0.252312,116.9231
342,20,1426,2058,0.20848,102.9
343,28,1770,2692,0.184298,96.1429
344,24,1847,2703,0.223716,112.625
345,21,1739,2534,0.240028,120.6667
346,25,2052,2985,0.237225,119.4
347,16,1223,1747,0.220281,109.1875
348,27,2051,2987,0.218284,110.6296
349,18,1196,1850,0.190385,102.7778
350,23,1865,2700,0.231677,117.3913
351,26,2209,3290,0.242056,126.5385
352,30,2275,3397,0.215436,113.2333
353,23,1454,2142,0.179086,93.1304
354,15,962,1453,0.181168,96.8667
355,27,2437,3506,0.254251,129.8519
356,16,1041,1611,0.18276,100.6875
357,15,1217,1782,0.227264,118.8
358,19,1410,2096,0.207292,110.3158
359,17,1460,2044,0.239227,120.2353
360,17,1233,1819,0.201471,107.0
361,21,1866,2854,0.246142,135.9048
362,17,1204,1819,0.195645,107.0
363,20,1710,2494,0.235537,124.7
364,18,1328,1932,0.202686,107.3333
365,22,1904,2724,0.237111,123.8182
366,24,2460,3507,0.280055,146.125
367,18,1175,1807,0.177869,100.3889
368,11,804,1163,0.198617,105.7273
369,16,1163,1732,0.196985,108.25
370,22,1629,2618,0.200123,119.0
371,17,1447,2124,0.229428,124.9412
372,16,1018,1595,0.171035,99.6875
373,29,2116,3130,0.195618,107.931
374,9,528,833,0.156863,92.5556
375,23,1824,2732,0.211478,118.7826
376,24,1839,2737,0.20379,114.0417
377,17,1418,2164,0.221251,127.2941
378,27,2754,3894,0.269841,144.2222
379,20,1706,2580,0.225066,129.0
380,17,931,1469,0.144118,86.4118
381,11,570,898,0.136006,81.6364
382,15,931,1420,0.162478,94.6667
383,20,1438,2210,0.187728,110.5
384,16,1389,2078,0.226074,129.875
385,15,1068,1625,0.184935,108.3333
386,20,1789,2600,0.231736,130.0
387,14,1122,1650,0.207087,117.8571
388,16,1497,2158,0.24114,134.875
389,19,1514,2290,0.204844,120.5263
390,18,1672,2586,0.238177,143.6667
391,17,1203,1817,0.180984,106.8824
392,18,1481,2291,0.209892,127.2778
393,18,1409,2071,0.19918,115.0556
394,17,1611,2337,0.24052,137.4706
395,11,1203,1730,0.27687,157.2727
396,16,1660,2504,0.261995,156.5
397,14,901,1307,0.162109,93.3571
398,24,2306,3382,0.241415,140.9167
399,20,1797,2580,0.225188,129.0
400,13,1632,2244,0.313846,172.6154
401,10,590,899,0.147132,89.9
402,19,1633,2457,0.213799,129.3158
403,17,1324,2074,0.193256,122.0
404,11,869,1287,0.195545,117.0
405,17,1409,2082,0.204648,122.4706
406,15,1409,2085,0.231363,139.0
407,11,853,1293,0.190529,117.5455
408,10,947,1320,0.232108,132.0
409,15,1570,2244,0.255909,149.6
410,13,1033,1467,0.193809,112.8462
411,16,1174,1699,0.178528,106.1875
412,21,1474,2218,0.170365,105.619
413,18,1741,2652,0.234194,147.3333
414,13,1385,2006,0.257339,154.3077
415,20,1815,2601,0.218675,130.05
416,9,1120,1557,0.299145,173.0
417,13,1015,1618,0.187235,124.4615
418,7,551,829,0.188312,118.4286
419,7,1052,1419,0.358677,202.7143
420,13,1183,1699,0.216667,130.6923
421,15,1121,1679,0.177514,111.9333
422,11,956,1378,0.205946,125.2727
423,10,919,1393,0.217258,139.3
424,16,1400,1966,0.206368,122.875
425,11,788,1282,0.168556,116.5455
426,13,1291,1821,0.233117,140.0769
427,16,1489,2124,0.217945,132.75
428,10,1154,1659,0.269626,165.9
429,8,791,1108,0.230478,138.5
430,6,391,617,0.15155,102.8333
431,13,1097,1614,0.195788,124.1538
432,12,1197,1719,0.230903,143.25
433,17,1510,2191,0.205135,128.8824
434,6,457,739,0.175499,123.1667
435,10,690,1049,0.158621,104.9
436,9,949,1381,0.241845,153.4444
437,10,1093,1595,0.250114,159.5
438,14,1020,1481,0.166341,105.7857
439,14,1163,1660,0.189229,118.5714
440,10,698,1136,0.158636,113.6
441,15,1186,1767,0.179289,117.8
442,17,1029,1594,0.136944,93.7647
443,8,686,1024,0.193567,128.0
444,9,714,1078,0.178679,119.7778
445,10,367,600,0.082472,60.0
446,14,1478,2215,0.236707,158.2143
447,9,774,1210,0.192394,134.4444
448,6,702,988,0.261161,164.6667
449,12,1291,1882,0.239607,156.8333
450,19,1747,2526,0.204327,132.9474
451,9,948,1408,0.233555,156.4444
452,7,563,873,0.177939,124.7143
453,7,356,595,0.112267,85.0
454,6,656,999,0.240822,166.5
455,6,725,1027,0.265568,171.1667
456,8,387,641,0.106086,80.125
457,18,1767,2596,0.214807,144.2222
458,6,671,996,0.244178,166.0
459,10,711,1035,0.154902,103.5
460,4,455,664,0.247283,166.0
461,11,1330,1855,0.262276,168.6364
462,9,724,1028,0.174122,114.2222
463,9,790,1214,0.189585,134.8889
464,14,1790,2626,0.275554,187.5714
465,5,644,956,0.276989,191.2
466,10,764,1160,0.163948,116.0
467,6,809,1155,0.288722,192.5
468,14,1676,2497,0.2558,178.3571
469,8,503,775,0.134062,96.875
470,11,811,1301,0.156867,118.2727
471,8,697,1072,0.184979,134.0
472,8,770,1154,0.203919,144.25
473,8,515,814,0.136099,101.75
474,12,1108,1622,0.194796,135.1667
475,9,738,1118,0.172632,124.2222
476,3,313,470,0.219188,156.6667
477,8,663,1007,0.173742,125.875
478,10,1011,1457,0.211506,145.7
479,5,541,833,0.225887,166.6
480,4,348,531,0.18125,132.75
481,8,669,1108,0.173857,138.5
482,5,451,732,0.187137,146.4
483,10,831,1311,0.17205,131.1
484,9,1252,1724,0.28742,191.5556
485,9,987,1533,0.226117,170.3333
486,9,929,1346,0.212391,149.5556
487,13,1942,2691,0.306745,207.0
488,8,916,1386,0.234631,173.25
489,8,717,1063,0.183282,132.875
490,12,1137,1791,0.193367,149.25
491,7,615,950,0.178935,135.7143
