branch,bucket,f_mid,train_arm,train_control,val_arm,val_control,memorisation_gain,generalisation_cost,gap_arm,gap_control,net_table_effect
bigram,301-500,387.94329482541644,2.282684324984014,2.8365137841397807,5.429126572821118,3.094775193194171,0.5538294591557666,2.3343513796269466,3.1464422478371037,0.25826140905439043,2.8881808387827133
bigram,501-750,612.9845022510765,2.3756375181966427,2.842196555626542,5.240235764892865,3.0591557167291406,0.46655903742989935,2.1810800481637242,2.864598246696222,0.2169591611025985,2.6476390855936236
bigram,751-1k,866.6025617317318,2.4318764997812696,2.851072158690807,5.2933091223316024,3.0812422918145987,0.41919565890953736,2.2120668305170037,2.861432622550333,0.23017013312379175,2.631262489426541
bigram,1k-2k,1414.213562373095,2.662724597744621,3.362932316143966,6.055721999006166,3.5363890276473424,0.7002077183993451,2.5193329713588235,3.392997401261545,0.1734567115033765,3.2195406897581687
bigram,2k-5k,3162.2776601683795,2.7248558961774076,3.3764342803467744,6.167155587803675,3.549990302628371,0.6515783841693668,2.6171652851753042,3.4422996916262676,0.1735560222815966,3.268743669344671
bigram,5k-10k,7071.067811865475,3.0801395227376194,3.691664858484128,6.405393088513735,3.915748153497943,0.6115253357465087,2.489644935015792,3.3252535657761157,0.22408329501381496,3.101170270762301
trigram,1,1.0,0.9184644851535152,3.0154469556225587,8.224098148237728,3.166741099269661,2.0969824704690434,5.057357048968067,7.305633663084213,0.15129414364710225,7.15433951943711
trigram,2,2.0,1.5070894112523223,2.834742586253971,7.812322243502037,3.206763678755483,1.3276531750016487,4.605558564746554,6.305232832249715,0.37202109250151194,5.933211739748202
trigram,3,3.0,1.8607487373631288,2.9091484303006387,7.502304431941192,3.212967324007706,1.04839969293751,4.289337107933486,5.641555694578063,0.30381889370706716,5.337736800870996
trigram,4,4.0,2.012049924201289,2.9302305699023803,7.166576172797549,3.2254509424841156,0.9181806457010913,3.941125230313433,5.15452624859626,0.2952203725817353,4.859305876014524
trigram,5,5.0,2.1542115223683473,2.986120807943649,6.969474712946441,3.2274018096420996,0.8319092855753016,3.742072903304342,4.815263190578094,0.24128100169845057,4.5739821888796435
trigram,6-8,6.928203230275509,2.2585518087324425,2.9369115870710067,6.511611201112027,3.2769537128365664,0.6783597783385642,3.2346574882754604,4.253059392379584,0.3400421257655597,3.9130172666140246
trigram,9-12,10.392304845413264,2.3888443716411287,2.9761179858467863,5.942609604204463,3.2423464738061925,0.5872736142056576,2.700263130398271,3.5537652325633347,0.2662284879594061,3.2875367446039285
trigram,13-20,16.1245154965971,2.5620736826594963,2.9956110098130466,5.366753295790664,3.273090638879281,0.4335373271535503,2.093662656911383,2.8046796131311678,0.27747962906623425,2.5271999840649335
trigram,21-30,25.099800796022265,2.7479312021098226,3.017960515615777,4.93179367617372,3.2964539293531514,0.2700293135059546,1.635339746820569,2.183862474063898,0.27849341373737424,1.9053690603265236
trigram,31-50,39.370039370059054,2.9184894057155892,3.038190885530911,4.5574932354418705,3.2656221768381015,0.11970147981532175,1.291871058603769,1.6390038297262812,0.22743129130719053,1.4115725384190907
trigram,51-75,61.84658438426491,3.1045058224590387,3.0961615198004324,4.317480993022321,3.2937438956115357,-0.008344302658606306,1.0237370974107853,1.2129751705632823,0.19758237581110327,1.015392794752179
trigram,76-100,87.17797887081348,3.1070331274622536,3.0266294594376553,4.237706468634014,3.2829820451391223,-0.08040366802459831,0.9547244234948913,1.13067334117176,0.256352585701467,0.874320755470293
trigram,101-150,123.08533625091171,3.1787836235054585,3.0156931851895776,4.183616372320278,3.2889202496738634,-0.16309043831588088,0.894696122646415,1.0048327488148199,0.2732270644842858,0.7316056843305341
trigram,151-200,173.78147196982766,3.2399788950389947,2.9877370692491616,4.114766302566256,3.2979271151550913,-0.2522418257898331,0.8168391874111647,0.8747874075272613,0.3101900459059297,0.5645973616213316
trigram,201-300,245.5605831561735,3.3484757414957382,3.036702220456214,4.089691427669022,3.2895669327643398,-0.31177352103952405,0.8001244949046824,0.7412156861732839,0.25286471230812557,0.48835097386515836
trigram,301-500,387.94329482541644,3.403792773803597,3.035984943682157,4.052544971109541,3.3111072003658943,-0.36780783012144,0.741437770743647,0.6487521973059445,0.27512225668373747,0.373629940622207
trigram,501-750,612.9845022510765,3.5743463144229723,3.199085556775847,4.031939366974716,3.297513764065119,-0.3752607576471254,0.7344256029095968,0.45759305255174354,0.09842820728927215,0.3591648452624714
trigram,751-1k,866.6025617317318,3.7316580212122035,3.34426804557187,4.159540891565319,3.5643102326318705,-0.3873899756403336,0.5952306589334486,0.4278828703531157,0.22004218706000067,0.207840683293115
trigram,1k-2k,1414.213562373095,3.8002386590219106,3.4276379104157138,4.266532934689591,3.654965760047455,-0.37260074860619685,0.6115671746421363,0.46629427566768067,0.22732784963174124,0.23896642603593943
trigram,2k-5k,3162.2776601683795,3.7249895222361413,3.364743199048451,3.966515352222996,3.3937817857708286,-0.36024632318769045,0.5727335664521673,0.24152582998685457,0.02903858672237769,0.21248724326447688
trigram,5k-10k,7071.067811865475,3.965679905966195,3.6298566705367574,4.286432156827532,3.822190542582662,-0.3358232354294377,0.46424161424487,0.32075225086133674,0.19233387204590446,0.12841837881543228
